CountryName	CountryCode	RegionName	RegionCode	Jurisdiction	Date	C1_School closing	C1_Flag	C2_Workplace closing	C2_Flag	C3_Cancel public events	C3_Flag	C4_Restrictions on gatherings	C4_Flag	C5_Close public transport	C5_Flag	C6_Stay at home requirements	C6_Flag	C7_Restrictions on internal movement	C7_Flag	C8_International travel controls	E1_Income support	E1_Flag	E2_Debt/contract relief	E3_Fiscal measures	E4_International support	H1_Public information campaigns	H1_Flag	H2_Testing policy	H3_Contact tracing	H4_Emergency investment in healthcare	H5_Investment in vaccines	H6_Facial Coverings	H6_Flag	M1_Wildcard	ConfirmedCases	ConfirmedDeaths	StringencyIndex	StringencyIndexForDisplay	StringencyLegacyIndex	StringencyLegacyIndexForDisplay	GovernmentResponseIndex	GovernmentResponseIndexForDisplay	ContainmentHealthIndex	ContainmentHealthIndexForDisplay	EconomicSupportIndex	EconomicSupportIndexForDisplay	Datum	id_time	time_cat
Germany	DEU			NAT_TOTAL	20200102	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-02	0	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200103	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-03	1	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200104	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-04	2	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200105	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-05	3	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200106	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-06	4	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200107	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-07	5	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200108	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-08	6	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200109	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-09	7	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200110	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-10	8	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200111	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-11	9	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200112	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-12	10	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200113	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-13	11	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200114	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-14	12	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200115	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-15	13	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200116	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-16	14	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200117	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-17	15	1: Bis Februar
Germany	DEU			NAT_TOTAL	20200118	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-01-18	16	1: Bis Februar
